acronym_,expansion,id,text
CI,continuous integration,TR-1116,"tab : practices tabularlll Group & Best practice & Implementation candidates ( not exhaustive ) 3*Project management & Version control system & git , mercurial , svn 2 - 3 & Project management tool & GitLab , GitHub , Bitbucket , JIRA 2 - 3 & Workflow & GitLab Flow , GitHub Flow , git flow 3*Coding style & Code formatting style & Mozilla , LLVM , Google , Chromium 2 - 3 & Code formatting tool & clang - format 2 - 3 & Static code analysis & clang - tidy , cppcheck , cpplint 2*Independence & Use open file formats & e.g. , JSON , CSV , HDF5 2 - 3 & Use open - source libraries & e.g. , Eigen , FFTW , GNU Scientific Library 2*Automation & Continuous integration & gitlab - ci , Travis CI , AppVeyor , Microsoft Azure 2 - 3 & Build automation & CMake , GNU make , Bazel , Ninja , MS Build 2*Documentation & Function reference & Doxygen , Sphinx ( with Breathe ) 2 - 3 & "" Big picture "" documentation & Markdown , reStructuredText 2*Testing & Unit test framework & Catch2 , Google Test , Boost Test Library 2 - 3 & Code coverage report & gcov , various commercial tools 2*Deployment & Package binaries & conda , Conan , Debian apt 2 - 3 & Online documentation & GitLab Pages , GitHub Pages , readthedocs.io tabular adjustwidthtableImplementation of the project skeletonsec : implementationBased on the ( general and programming language agnostic ) best practices introduced in the section above , we implement measures for a C++ software library with bindings for the Python language in this section ."
ADN,activity driven networks,TR-1128,"tikzpicture customlegend[legend columns=5,legend style = at=(0.12,1.02),draw = none , column sep=2ex , line width=2 pt , legend entries = DDT , Het GDT , Het ADN , Hom GDT , Hom ADN ] mark = triangle , solid , line legend , color = blue mark = x , solid , color = red mark = triangle , solid , color = magenta mark = o , color = cyan mark = star , color = yellow customlegend tikzpictureadf_a.pdf adf_b.pdf1emadf_c.pdf adf_d.pdfDiffusion dynamics on various contact networks - real contact network ( DDT ) , heterogeneous GDT ( Het GDT ) , homogeneous GDT ( Hom GDT ) , heterogeneous ADN ( Het ADN ) , and homogeneous ADN ( Hom ADN ) : A ) disease prevalence dynamics , B ) accumulative infection over simulation days , C ) variations in the daily prediction comparing to real contact network and D ) variation in the accumulative predictionfig : nethmdffigureDiffusion analysisThe selected four synthetic contact networks ( Hom ADN , Het ADN , Hom GDT and Het GDT ) are generated with 364 K nodes for 32 days and simulations are run with the selected disease parameters ."
SCS,spoken conversational search,TR-1142,table : schemas1tabletable[]tabularllllll 1c & 5c[HTML]DAE8FCAgent 1c & 2c[HTML]DAE8FCRequest & 3c[HTML]DAE8FCAnswer 1c-3*Models & 1c[HTML]DAE8FCOffer & 1c[HTML]DAE8FCUnderstand & 1c[HTML]DAE8FCResults & 1c[HTML]DAE8FCBackchannel & 1c[HTML]DAE8FCEmpty COR & offer & & assert & promise & reject 10 labels & withdraw & & & & CS DBLP : conf / chiir / RadlinskiC17 & a0 & & a1i & & 10 labels & a1p & & a2+i & & & a2+p & & & & & & & & & SCS & Query refine- & Asks to & SERP w/o modification & Confirms & 13 labels & ment offer & repeat & SERP with modification & & & & & SERP with modification + Suggestion & & & & & Scanning document theme & & ODE & list(keywords ) & prompt(keywords ) & bool(data ) & confirm ( ) & 17 labels & prompt(link ) & verify ( ) & count(data ) & success ( ) & & & & top(keywords ) & & & & & link(dataset ) & & DSTC1 & request & & schedule & ack & sorry 32 labels & open - request & are - you - there & morebuses & hold - on & canthelp.cantfindstop & example & bebrief & & impl - conf & canthelp.fromequalsto & & expl - conf & & & canthelp.nobusesattime & & please - repeat & & & canthelp.noconnection & & please - rephrase & & & canthelp.nonextbus & & & & & canthelp.routedoesntrun & & & & & canthelp.systemerror & & & & & canthelp.uncoveredroute & & & & & canthelp.uncoveredstop DSTC2 & request & & inform & impl - conf & canthelp 22 labels & welcomemsg & expl - conf & offer & & canthelp.exception & reqmore & repeat & & & & select & confirm - domain & & & tabularSchema alignments ( Part 2 ) .
MT,machine translation,TR-1316,lcccccc System & + + & + - & - + & - - & + 0 & - 0en - fr - rnn - ff & 3710 & 3023 & 10157 & 18683 & 10 & 95519en - fr - smt - ff & 3362 & 3381 & 32577 & 46714 & 0 & 45068en - fr - trans - ff & 3839 & 2901 & 12398 & 24403 & 3 & 87558en - fr - rnn - back & 3356 & 3372 & 13009 & 17253 & 15 & 94097en - fr - smt - back & 3246 & 3496 & 34111 & 43472 & 1 & 46776en - fr - trans - back & 3482 & 3254 & 14610 & 20962 & 7 & 88787en - es - rnn - ff & 4667 & 3532 & 9929 & 19149 & 41 & 130875en - es - smt - ff & 4276 & 3963 & 39817 & 56169 & 1 & 63967en - es - trans - ff & 4626 & 3601 & 11379 & 25698 & 13 & 122876en - es - rnn - back & 4265 & 3951 & 13716 & 17872 & 24 & 128365en - es - smt - back & 4006 & 4233 & 39636 & 51831 & 1 & 68486en - es - trans - back & 4288 & 3929 & 14295 & 22032 & 23 & 123626 Frequency exacerbation and decay count ( Train set ) lcccccc System & + + & + - & - + & - - & + 0 & - 0en - fr - rnn - ff & 2917 & 2335 & 10653 & 15400 & 11 & 57623en - fr - smt - ff & 2652 & 2610 & 20587 & 26949 & 1 & 36140en - fr - trans - ff & 2997 & 2264 & 12537 & 17430 & 2 & 53709en - fr - rnn - back & 2642 & 2610 & 13513 & 14963 & 11 & 55200en - fr - smt - back & 2577 & 2684 & 22604 & 26608 & 2 & 34464en - fr - trans - back & 2701 & 2554 & 14932 & 17101 & 8 & 51643en - es - rnn - ff & 3541 & 2669 & 10636 & 16425 & 27 & 75113en - es - smt - ff & 3252 & 2982 & 23389 & 29057 & 3 & 49728en - es - trans - ff & 3508 & 2716 & 12069 & 19046 & 13 & 71059en - es - rnn - back & 3241 & 2971 & 14394 & 15847 & 25 & 71933en - es - smt - back & 3163 & 3072 & 24547 & 28389 & 2 & 49238en - es - trans - back & 3256 & 2967 & 15160 & 18606 & 14 & 68408 Frequency exacerbation and decay count ( Test set ) lcccccc System & + + & + - & - + & - - & + 0 & - 0en - fr - rnn - ff & 840.76 & 687.16 & 46.36 & 115.27 & 1.47 & 83.22en - fr - smt - ff & 664.86 & 555.60 & 31.17 & 119.64 & 0.00 & 20.79en - fr - trans - ff & 663.00 & 552.74 & 49.98 & 108.63 & 0.40 & 51.20en - fr - rnn - back & 770.72 & 680.73 & 83.68 & 96.68 & 2.19 & 74.81en - fr - smt - back & 620.67 & 525.26 & 40.36 & 112.35 & 0.13 & 23.29en - fr - trans - back & 639.69 & 568.68 & 75.88 & 90.25 & 1.05 & 55.58en - es - rnn - ff & 733.44 & 535.15 & 42.54 & 117.47 & 4.93 & 118.43en - es - smt - ff & 547.86 & 423.87 & 33.22 & 129.73 & 0.12 & 27.35en - es - trans - ff & 587.22 & 436.02 & 47.61 & 119.98 & 1.37 & 77.46en - es - rnn - back & 677.23 & 564.31 & 94.47 & 101.57 & 2.92 & 102.90en - es - smt - back & 561.03 & 438.09 & 44.31 & 133.35 & 0.12 & 33.78en - es - trans - back & 548.37 & 438.33 & 72.27 & 98.11 & 2.33 & 81.87 Accumulated frequency differences ( Train set ) lcccccc System & + + & + - & - + & - - & + 0 & - 0en - fr - rnn - ff & 827.07 & 655.81 & 68.84 & 133.21 & 2.48 & 104.41en - fr - smt - ff & 790.41 & 640.60 & 60.98 & 156.94 & 0.13 & 53.71en - fr - trans - ff & 662.76 & 533.83 & 73.15 & 123.07 & 0.31 & 78.70en - fr - rnn - back & 751.49 & 655.35 & 112.32 & 114.16 & 2.28 & 92.01en - fr - smt - back & 679.17 & 551.88 & 64.50 & 142.50 & 0.34 & 48.96en - fr - trans - back & 625.59 & 548.18 & 104.26 & 107.39 & 1.41 & 72.88en - es - rnn - ff & 726.16 & 509.28 & 67.76 & 134.45 & 4.16 & 146.04en - es - smt - ff & 679.08 & 503.57 & 70.86 & 169.33 & 0.38 & 76.67en - es - trans - ff & 592.32 & 414.37 & 73.00 & 134.59 & 1.84 & 114.52en - es - rnn - back & 653.89 & 533.03 & 128.86 & 119.04 & 4.22 & 126.46en - es - smt - back & 630.86 & 462.82 & 74.19 & 165.11 & 0.31 & 76.81en - es - trans - back & 538.03 & 415.49 & 103.32 & 118.89 & 2.40 & 104.57 Accumulated frequency differences ( Test set ) Remarks on automatic evaluationThe summary of our results allows us to draw the following conclusions:[leftmargin= * ] Lexical richness All metrics and results presented in Table and Table and for both language pairs indicate that neither of the MT systems reaches the lexical richness of the HT .
MPI,multiple parallel instances,TR-1372,"figure[!htb]subfigure.3 figures / Comparison_IO_compute_scaling_traj_splitting - chain - reader_edited.pdf format = hang Scaling for different components fig : MPIscaling - chain - readersubfiguresubfigure.3 figures / Comparison_tot_time_traj_splitting - chain - reader_edited.pdf Scaling total fig : MPItottime - chain - readersubfiguresubfigure.3 figures / Comparison_Speed_UP_traj_splitting - chain - reader_edited.pdf Speed - up fig : MPIspeedup - chain - readersubfiguresubfigure.45 figures / chain - reader - no - ga - BarPlot - rank - comparison_192_5.pdf format = hang Time comparison of different parts of the calculations per MPI rank using ChainReader with MPI collective communications fig : MPIranks - split - chain - readersubfiguresubfigure.45 figures / chain - reader - ga - BarPlot - rank - comparison_192_3.pdf format = hang Time comparison on different parts of the calculations per MPI rank using ChainReader using Global Arrays fig : MPIranks - split - ga - chain - readersubfigureComparison on the performance of the MDAnalysis ChainReader for the RMSD task on SDSC Comet when the trajectories are split ; for the communication step either collective MPI ( "" MPI "" ) or Global Arrays ( "" ga "" ) was used ."
LC,least confidence,TR-1582,tab : measurescentertabletable*[t]tabularlcccccccccDsets & Chance & FTZ Ent - Ent & FTZ Ent - LC & MNB Ent - Ent & MNB Ent - LC & FTZ Ent - Ent & FTZ Ent - LC & MNB Ent - Ent & MNB Ent - LC SGN & & & & & & & & & DBP & & & & & & & & & YHA & & & & & & & & & YRP & & & & & & & & & YRF & & & & & & & & & AGN & & & & ? &
BF,black females,TR-1632,"[ cloud , below of = gc , node distance = 2 cm ] ( m ) Race Classification ; [ cloud , below of = init , node distance = 2 cm ] ( f ) Race Classification ; [ block3 , below left of = m , node distance = 1.5 cm ] ( of ) BM Age Estimator ; [ block3 , below right of = m , node distance = 1.5 cm ] ( hf ) WM Age Estimator ; [ block3 , below left of = f , node distance = 1.5 cm ] ( om ) BF Age Estimator ; [ block3 , below right of = f , node distance = 1.5 cm ] ( hm ) WF Age Estimator ; [ - > ] ( init ) - ( pp ) ; [ - > ] ( pp ) - ( gc ) ; [ - > ] ( gc ) - node Male ( m ) ; [ - > ] ( gc.south ) - + + ( 0,-.3 cm ) - ( f ) node[near end , above left , yshift=-4pt ] Female ; [ - > ] ( m ) - ( of ) ; [ - > ] ( m ) - ( hf ) ; [ - > ] ( f ) - ( om ) ; [ - > ] ( f ) - ( hm ) ; tikzpicture adjustboxOverview of race - composite age prediction framework ."
GA,global arrays,TR-1755,"MPI - parallel Multi - frame RMSD using Global Arrays alg : GA Input : size : Total number of frames assigned to each rank ga : Initialized Global Arrays xref0 : mobile group in the initial frame which will be considered as reference start stop : that tell which block of trajectory ( frames ) is assigned to each rank topology trajectory : files to read the data structure from Include : BlockRMSD ( ) from Algorithm alg : RMSD algorithmic[1 ] bsize ceil(trajectory.numberframes / size ) ga ga.create(ga.CDBL , [ bsize*size,2 ] , "" RMSD "" ) buf np.zeros([bsize*size,2 ] , dtype = float ) out BlockRMSD(topology , trajectory , xref0 , start = start , stop = stop ) ga.put(ga , out , ( start,0 ) , ( stop,2 ) ) rank = = 0 buf ga.get(ga , lo = None , hi = None ) algorithmicalgorithmMPI and Parallel HDF5sec : methods - hdf5HDF5 is a structured self - describing hierarchical data format which is the standard mechanism for storing large quantities of numerical data in Python ( http://www.hdfgroup.org/HDF5,pythonhdf5 ) ."
CT,class table,TR-1839,"equation translate^*(CTcls ) = cases ( C.extends : D ) & if ( CTcls)= ( C.extends = D ) ( C.f : C_f ) & if ( CTcls ) = ( C.f : C_f ) ( C.m : CC_r ) & if ( CTcls ) = ( C.m : CC_r ) ( C.init(C ) ) & if ( CTcls ) = ( C.init(C ) ) casesequationdefinitiondefinition[Clauses of supertypes of CReq ] equation ( CReq , CR ) _ = cases ( T.extends : T ' ) & for CReq = ( T.extends : T ' ) ( T.init(T ' ) & for ( T.init(T ' ) CReqs(CR ) & CReq = ( T.init(T ) ) T < : T ' ( T'.f : T'_f ) & for ( T'.f : T'_f ) CReqs(CR ) & CReq = ( T.f : T_f ) T < : T ' ( T'.m : T'T'_r ) & for ( T'.m : T'T'_r ) CReqs(CR ) & CReq = ( T.m : TT_r ) T < : T ' casesequationdefinitiondefinition[Clauses of subtypes of CReq ] equation ( CReq , CR ) _ = cases ( T.extends : T ' ) & for CReq = ( T.extends : T ' ) ( T.init(T ' ) & for ( T.init(T ' ) CReqs(CR ) & CReq = ( T.init(T ) ) T ' < : T ( T'.f : T'_f ) & for ( T'.f : T'_f ) CReqs(CR ) & CReq = ( T.f : T_f ) T ' < : T ( T'.m : T'T'_r ) & for ( T'.m : T'T'_r ) CReqs(CR ) & CReq = ( T.m : TT_r)T ' < : T casesequationdefinitiondefinition[Clauses of superclasses of CTcls ] equation ( CTcls , CT)_^ * = cases ( C.extends : D ) & for CTcls = ( C.extends = D ) ( C.init(C ' ) & for ( C.init(C ' ) CT & CTcls = ( C.init(C ) ) C < : C ' ( D.f : D ' ) & for ( D.f : D ' ) CT & CTcls = ( C.f : C ' ) C < : D ( D.m : DD_r ) & for ( D.m : DD_r ) CT & CTcls = ( C.m : CC_r ) C < : D casesequationdefinitiondefinition[Compatible class requirements ] Given two class requirements , compatibility of two class requirements is defined over all cases of clauses : definitiondefinition[Compatibility between a class requirement and a class table clause]Given a class table clause , a class requirement , and a ground solution , such that ground , compatibility is defined over all cases of clauses : definitionlemma[Weakening for context]lem : conxtWeak If tT , and , then x : CtT.lemmaproof Straightforward induction on typing derivations ."
PSO,particle swarm optimization,TR-1938,"Let the position , the velocity and the learning exemplars of the particle be , * * Based on the proposed learning approach ( as shown in Algorithm- ) , the velocity of the particle is updated as follows : Determination of the cardinality of all sets ( and ): * * Evaluation of the cardinality learning sets ( , and ): * * Evaluation of the feature learning sets ( , and ): * * Derivation of the final learning sets ( , and ) * * Velocity update of the particle ( ) as per ( ) * Position UpdateIn the majority of binary PSO variants , the position update process entails the decision to exclude or include each feature ."
FEC,forward error correction,TR-2168,The parameters are defined as follows : FEC - based : accounts for mechanisms that employ FEC ; ARQ - based : mark mechanisms that use ARQ ; QoE - sensitive data : this parameter demonstrates mechanisms that identity and/or considerate the video content to define the EC policy ; Video - aware : check mark is given to mechanisms that use any video characteristics to define the amount of redundancy and/or retransmission ; High - quality video : it is marked if the mechanisms are using videos equal or higher than 720p ( HD ready ) ; Network status : this parameter defines if the mechanisms use the information about the network healthy to define the redundant data ; UEP - enabled : means that different amounts of redundancy are being added to distinct portions of the video .
OP,old persian,TR-2196,"[ 196ff.]Lipp2009 states that OP -st- ( found as a reflex of PIE * -k - t- , * -g - t- ) is due to analogy , while other developments are due to a phonological change predating Middle Persian:[noitemsep]PIE * hreg - to- PIr * rasta- OP rasta- ' right ' MP rast NP rastPIr * musti- ' fist ' MP must , must NP mustPIr * -ista- ( superlative suffix ) MP -ist ; e.g. , Phl balist , MMP barist ' highest ' * barjista- ; Phl xwalist , MMP xwarist ' sweetest ' * huarjista- ( cf ."
AI,artificial intelligence,TR-2291,"A clearer account of research priorities and disagreementsUnpacking the near / long - term distinctionAs commonly used , the terms ' near - term ' and ' long - term ' in fact appear to capture four different dimensions of differing priorities within the AI ES research community : [ ] Capabilities : whether to focus on the impacts and challenges of current AI systems , or those relating to much more advanced AI systems [ ] Impacts : whether to focus mostly on the immediate impacts of AI for society , or whether to consider possible impacts much further into the future ."
